REGION,ECOSYSTEM,PRODUCT,PRODUCT_VERSION,ENV,STATUS,ZONE,HOSTNAME,FDQN,LOCATION,PERIMETER,DOMAIN,OS_VERSION
EMEA,"GBS-TRADE","jbosseap","2.0","DEV","ACTIVE","PRD","eurvlii52127","eurvlii52127.xmp.net.intra","CORE","intranet","","7"
EMEA,"GBS-TRADE","jbosseap","2.0","DEV","ACTIVE","PRD","eurvlii52123","eurvlii52123.xmp.net.intra","CORE","intranet","","7"
EMEA,"GBS-TRADE","jbosseap","2.0","DEV","ACTIVE","PRD","eurvlii52122","eurvlii52122.xmp.net.intra","CORE","intranet","","7"
EMEA,"GBS-TRADE","jbosseap","2.0","DEV","ACTIVE","PRD","eurvlii52062","eurvlii52062.xmp.net.intra","CORE","intranet","","7"
EMEA,"GBS-TRADE","jbosseap","2.0","DEV","ACTIVE","PRD","eurvlii52058","eurvlii52058.xmp.net.intra","CORE","intranet","","7"
EMEA,"GBS-TRADE","jbosseap","2.0","DEV","ACTIVE","PRD","eurvlii52057","eurvlii52057.xmp.net.intra","CORE","intranet","","7"
EMEA,"DTL","jbosseap","1.0","DEV","ACTIVE","PRD","eurvlii36333","eurvlii36333.xmp.net.intra","CORE","intranet","","8"
EMEA,"DTL","jbosseap","1.0","DEV","ACTIVE","PRD","eurvlii36328","eurvlii36328.xmp.net.intra","CORE","intranet","","8"
EMEA,"DTL","jbosseap","1.0","DEV","ACTIVE","PRD","eurvlii36322","eurvlii36322.xmp.net.intra","CORE","intranet","","8"
EMEA,"AXWSNTUK","jbosseap","3.0","DEV","ACTIVE","PRD","eurvlii88387","eurvlii88387.xmp.net.intra","CORE","intranet","euro","9"
EMEA,"TREBOL-REPORT","jbosseap","3.0","DEV","ACTIVE","PRD","eurvlii88183","eurvlii88183.xmp.net.intra","CORE","intranet","euro","9"
EMEA,"DTL","jbosseap","3.0","DEV","ACTIVE","PRD","eurvlii103649","eurvlii103649.xmp.net.intra","CORE","intranet","euro","9"
EMEA,"TREBOL-REPORT","jbosseap","2.0","DEV","ACTIVE","PRD","eurvlii55968","eurvlii55968.xmp.net.intra","CORE","intranet","","7"
EMEA,"DTL","jbosseap","1.0","DEV","ACTIVE","PRD","eurvlii40981","eurvlii40981.xmp.net.intra","CORE","intranet","","9"
APAC,"EREPORTING","jbosseap","3.0","DEV","ACTIVE","PRD","sinvlii19588","sinvlii19588.xmp.net.intra","CORE","intranet","apac","9"
APAC,"EREPORTING-CN","jbosseap","3.0","DEV","ACTIVE","PRD","sinvlii19540","sinvlii19540.xmp.net.intra","CORE","intranet","apac","9"
APAC,"EREPORTING","jbosseap","3.0","DEV","ACTIVE","PRD","sinvlii19539","sinvlii19539.xmp.net.intra","CORE","intranet","apac","9"
APAC,"EREPORTING-CN","jbosseap","2.1","DEV","ACTIVE","PRD","sinvlii12671","sinvlii12671.xmp.net.intra","CORE","intranet","","8"
APAC,"NAPAS","jbosseap","2.3","DEV","ACTIVE","PRD","sinvlii14943","sinvlii14943.xmp.net.intra","CORE","intranet","","7"
APAC,"NAPAS","jbosseap","2.3","DEV","ACTIVE","PRD","sinvlii14942","sinvlii14942.xmp.net.intra","CORE","intranet","","7"
APAC,"EREPORTING","jbosseap","3.0","DEV","ACTIVE","PRD","sinvlii21890","sinvlii21890.xmp.net.intra","CORE","intranet","apac","9"
AMER,"AMPLIS-JCOT","jbosseap","2.1","DEV","ACTIVE","PRD","narvlii10377","narvlii10377.xmp.net.intra","CORE","intranet","","8"
AMER,"AMPLIS-JCOT","jbosseap","2.1","DEV","ACTIVE","PRD","narvlii10240","narvlii10240.xmp.net.intra","CORE","intranet","","8"
AMER,"AMPLIS-JCOT","jbosseap","2.1","DEV","ACTIVE","PRD","narvlii10238","narvlii10238.xmp.net.intra","CORE","intranet","","8"
AMER,"AMPLIS-JCOT","jbosseap","2.1","DEV","ACTIVE","PRD","narvlii10217","narvlii10217.xmp.net.intra","CORE","intranet","","8"
AMER,"AMPLIS-JCOT","jbosseap","2.1","DEV","ACTIVE","PRD","narvlii10216","narvlii10216.xmp.net.intra","CORE","intranet","","8"
AMER,"AMPLIS-JCOT","jbosseap","2.1","DEV","ACTIVE","PRD","narvlii10215","narvlii10215.xmp.net.intra","CORE","intranet","","8"
AMER,"AMPLIS-JCOT","jbosseap","2.1","DEV","ACTIVE","PRD","narvlii10214","narvlii10214.xmp.net.intra","CORE","intranet","","8"
AMER,"AMPLIS-JCOT","jbosseap","2.1","DEV","ACTIVE","PRD","narvlii10188","narvlii10188.xmp.net.intra","CORE","intranet","","8"
AMER,"MAPS-BRAZIL","jbosseap","2.1","DEV","ACTIVE","PRD","narvlii10187","narvlii10187.xmp.net.intra","CORE","intranet","","8"
AMER,"MAPS-BRAZIL","jbosseap","2.1","DEV","ACTIVE","PRD","narvlii10186","narvlii10186.xmp.net.intra","CORE","intranet","","8"