REGION,ECOSYSTEM,PRODUCT,PRODUCT_VERSION,ENV,STATUS,ZONE,HOSTNAME,FQDN,LOCATION,PERIMETER,DOMAIN,OS_VERSION
EMEA,"MDA","tomcat_ibmcloud_vpc","2.4","DEV","ACTIVE","null","eurvli112457","eurvli112457.xmp.net.intra","MZR","","warp","9"
EMEA,"GIOTTO","tomcat_ibmcloud_vpc","2.4","DEV","ACTIVE","null","eurvli107721","eurvli107721.xmp.net.intra","MZR","","warp","9"
EMEA,"KAMISORI","tomcat_ibmcloud_vpc","2.4","DEV","ACTIVE","null","eurvli107532","eurvli107532.xmp.net.intra","MZR","","warp","9"
EMEA,"TIZIANO","tomcat_ibmcloud_vpc","1.5","DEV","ACTIVE","not_set","eurvbi01108","null","MZR","","warp","9"
EMEA,"TINTORETTO","tomcat_ibmcloud_vpc","1.4","DEV","ACTIVE","not_set","eurvbi00938","null","MZR","","warp","8"
EMEA,"RIM-TOOL","tomcat_ibmcloud_vpc","1.4","DEV","ACTIVE","not_set","eurvbi00871","null","MZR","","warp","8"
EMEA,"NSS-MEA","tomcat_ibmcloud_vpc","2.4","DEV","ACTIVE","null","eurvli117677","eurvli117677.xmp.net.intra","MZR","","warp","9"
EMEA,"IV2PRODUCERS","tomcat_ibmcloud_vpc","2.4","DEV","ACTIVE","null","eurvli134708","eurvli134708.xmp.net.intra","MZR","","warp","9"
EMEA,"IV2PRODUCERS","tomcat_ibmcloud_vpc","2.4","DEV","ACTIVE","null","eurvli135196","eurvli135196.xmp.net.intra","MZR","","warp","9"
EMEA,"C2-ES","tomcat_ibmcloud_vpc","1.3","STG","ACTIVE","not_set","eurvli76208","null","MZR","","warp","8"
EMEA,"C2-ES","tomcat_ibmcloud_vpc","1.3","STG","ACTIVE","not_set","eurvli76205","null","MZR","","warp","8"
EMEA,"C2-ES","tomcat_ibmcloud_vpc","1.3","STG","ACTIVE","not_set","eurvli76202","null","MZR","","warp","8"
EMEA,"CCM","tomcat_ibmcloud_vpc","1.3","STG","ACTIVE","not_set","eurvli73684","null","MZR","","warp","8"
EMEA,"CCM","tomcat_ibmcloud_vpc","1.3","STG","ACTIVE","not_set","eurvli73651","null","MZR","","warp","8"
EMEA,"ESCIBNAF","tomcat_ibmcloud_vpc","1.3","STG","ACTIVE","not_set","eurvli71647","null","MZR","","warp","8"
EMEA,"ESCIBNAF","tomcat_ibmcloud_vpc","1.3","STG","ACTIVE","not_set","eurvli71625","null","MZR","","warp","8"
EMEA,"EMBARGOS-CGPJ","tomcat_ibmcloud_vpc","2.2","STG","ACTIVE","null","eurvbi01182","eurvbi01182.xmp.net.intra","MZR","","warp","9"
EMEA,"EMBARGOS-CGPJ","tomcat_ibmcloud_vpc","2.2","STG","ACTIVE","null","eurvbi01162","eurvbi01162.xmp.net.intra","MZR","","warp","9"
EMEA,"EMBARGOS-CGPJ","tomcat_ibmcloud_vpc","2.2","STG","ACTIVE","null","eurvbi01161","eurvbi01161.xmp.net.intra","MZR","","warp","9"
EMEA,"EMBARGOS-CGPJ","tomcat_ibmcloud_vpc","2.2","STG","ACTIVE","null","eurvbi01156","eurvbi01156.xmp.net.intra","MZR","","warp","9"
EMEA,"TIZIANO","tomcat_ibmcloud_vpc","2.2","STG","ACTIVE","null","eurvbi01044","eurvbi01044.xmp.net.intra","MZR","","warp","9"
EMEA,"EIMPUESTO","tomcat_ibmcloud_vpc","2.0","STG","ACTIVE","null","eurvbi01039","eurvbi01039.xmp.net.intra","MZR","","warp","9"
EMEA,"EIMPUESTO","tomcat_ibmcloud_vpc","2.0","STG","ACTIVE","null","eurvbi01039","eurvbi01039.xmp.net.intra","MZR","","warp","9"
EMEA,"TINTORETTO","tomcat_ibmcloud_vpc","1.5","STG","ACTIVE","not_set","eurvbi00998","null","MZR","","warp","9"
EMEA,"PGATE","tomcat_ibmcloud_vpc","1.5","STG","ACTIVE","not_set","eurvbi00988","null","MZR","","warp","9"
EMEA,"KAMISORI","tomcat_ibmcloud_vpc","1.5","STG","ACTIVE","not_set","eurvbi00982","null","MZR","","warp","9"
EMEA,"KAMISORI","tomcat_ibmcloud_vpc","1.5","STG","ACTIVE","not_set","eurvbi00981","null","MZR","","warp","9"
EMEA,"RIM-TOOL","tomcat_ibmcloud_vpc","1.4","STG","ACTIVE","not_set","eurvbi00935","null","MZR","","warp","8"
EMEA,"PGATE","tomcat_ibmcloud_vpc","1.4","STG","ACTIVE","not_set","eurvbi00934","null","MZR","","warp","8"
EMEA,"RIM-TOOL","tomcat_ibmcloud_vpc","1.4","STG","ACTIVE","not_set","eurvbi00929","null","MZR","","warp","8"
EMEA,"NSS-MEA","tomcat_ibmcloud_vpc","2.4","STG","ACTIVE","null","eurvli120514","eurvli120514.xmp.net.intra","MZR","","warp","9"
EMEA,"RID-SEC","tomcat_ibmcloud_vpc","2.4","STG","ACTIVE","null","eurvli123358","eurvli123358.xmp.net.intra","MZR","","warp","9"