REGION,ECOSYSTEM,PRODUCT,PRODUCT_VERSION,ENV,STATUS,ZONE,HOSTNAME,FQDN,LOCATION,PERIMETER,DOMAIN,OS_VERSION,LABEL
EMEA,"VAS","weblogic_wintel","2.1","DEV","ACTIVE","PRD","eurvli75779","eurvli75779.xmp.net.intra","CORE","intranet","","8","wls_slave"
EMEA,"VAS","weblogic_wintel","2.1","DEV","ACTIVE","PRD","eurvli75776","eurvli75776.xmp.net.intra","CORE","intranet","","8","wls_slave"
EMEA,"VAS","weblogic_wintel","2.1","DEV","ACTIVE","PRD","eurvli75780","eurvli75780.xmp.net.intra","CORE","intranet","","8","wls_slave"
EMEA,"VAS","weblogic_wintel","2.1","DEV","ACTIVE","PRD","eurvli75777","eurvli75777.xmp.net.intra","CORE","intranet","","8","wls_slave"
EMEA,"VAS","weblogic_wintel","2.1","DEV","ACTIVE","PRD","eurvli75778","eurvli75778.xmp.net.intra","CORE","intranet","","8","wls_master"
EMEA,"FEEDS","weblogic_wintel","2.4","DEV","ACTIVE","PRD","eurvli114788","eurvli114788.xmp.net.intra","CORE","intranet","euro","9","wls_slave"
EMEA,"FEEDS","weblogic_wintel","2.4","DEV","ACTIVE","PRD","eurvli114792","eurvli114792.xmp.net.intra","CORE","intranet","euro","9","wls_slave"
EMEA,"FEEDS","weblogic_wintel","2.4","DEV","ACTIVE","PRD","eurvli114789","eurvli114789.xmp.net.intra","CORE","intranet","euro","9","wls_slave"
EMEA,"FEEDS","weblogic_wintel","2.4","DEV","ACTIVE","PRD","eurvli114790","eurvli114790.xmp.net.intra","CORE","intranet","euro","9","wls_slave"
EMEA,"FEEDS","weblogic_wintel","2.4","DEV","ACTIVE","PRD","eurvli114791","eurvli114791.xmp.net.intra","CORE","intranet","euro","9","wls_master"
EMEA,"FEEDS","weblogic_wintel","2.4","DEV","ACTIVE","PRD","eurvli114783","eurvli114783.xmp.net.intra","CORE","intranet","euro","9","wls_slave"
EMEA,"FEEDS","weblogic_wintel","2.4","DEV","ACTIVE","PRD","eurvli114787","eurvli114787.xmp.net.intra","CORE","intranet","euro","9","wls_slave"
EMEA,"FEEDS","weblogic_wintel","2.4","DEV","ACTIVE","PRD","eurvli114784","eurvli114784.xmp.net.intra","CORE","intranet","euro","9","wls_slave"
EMEA,"FEEDS","weblogic_wintel","2.4","DEV","ACTIVE","PRD","eurvli114786","eurvli114786.xmp.net.intra","CORE","intranet","euro","9","wls_slave"